iter	Passed	Remaining
0	515	102598
1	702	69542
2	841	55250
3	992	48635
4	1094	42685
5	1160	37536
6	1225	33779
7	1290	30983
8	1359	28846
9	1445	27469
10	1512	25981
11	1576	24691
12	1634	23518
13	1692	22481
14	1749	21578
15	1811	20832
16	1891	20357
17	1941	19626
18	1992	18980
19	2049	18444
20	2101	17910
21	2150	17398
22	2200	16936
23	2250	16503
24	2296	16075
25	2344	15690
26	2410	15443
27	2460	15115
28	2509	14799
29	2556	14487
30	2603	14192
31	2649	13907
32	2693	13630
33	2737	13364
34	2781	13110
35	2825	12873
36	2869	12639
37	2912	12417
38	2956	12202
39	3000	12001
40	3045	11810
41	3090	11626
42	3133	11440
43	3176	11261
44	3219	11088
45	3264	10928
46	3307	10768
47	3351	10612
48	3394	10460
49	3439	10317
50	3483	10177
51	3527	10039
52	3572	9908
53	3616	9777
54	3670	9677
55	3715	9555
56	3759	9431
57	3802	9310
58	3844	9188
59	3888	9072
60	3932	8960
61	3975	8849
62	3999	8698
63	4042	8591
64	4084	8484
65	4127	8380
66	4169	8276
67	4211	8174
68	4253	8075
69	4295	7977
70	4337	7881
71	4404	7830
72	4448	7739
73	4491	7647
74	4536	7561
75	4579	7472
76	4621	7382
77	4671	7307
78	4716	7224
79	4760	7140
80	4802	7054
81	4845	6972
82	4888	6891
83	4931	6809
84	4973	6728
85	5013	6646
86	5070	6585
87	5112	6507
88	5154	6428
89	5197	6352
90	5240	6276
91	5283	6202
92	5327	6129
93	5367	6052
94	5409	5978
95	5449	5903
96	5492	5831
97	5534	5760
98	5586	5699
99	5639	5639
100	5682	5570
101	5726	5502
102	5768	5432
103	5815	5368
104	5893	5332
105	5950	5276
106	5997	5212
107	6039	5144
108	6083	5079
109	6129	5014
110	6175	4951
111	6230	4895
112	6273	4830
113	6317	4765
114	6362	4702
115	6408	4640
116	6451	4576
117	6495	4513
118	6538	4450
119	6584	4389
120	6627	4326
121	6670	4264
122	6715	4203
123	6773	4151
124	6821	4092
125	6867	4033
126	6915	3975
127	6962	3916
128	7010	3858
129	7059	3801
130	7105	3742
131	7166	3691
132	7216	3635
133	7265	3578
134	7319	3524
135	7366	3466
136	7412	3408
137	7457	3350
138	7502	3292
139	7548	3234
140	7593	3177
141	7656	3127
142	7703	3070
143	7748	3013
144	7791	2955
145	7835	2898
146	7878	2840
147	7919	2782
148	7960	2724
149	8005	2668
150	8066	2617
151	8114	2562
152	8164	2507
153	8213	2453
154	8263	2399
155	8326	2348
156	8373	2293
157	8420	2238
158	8463	2182
159	8506	2126
160	8555	2072
161	8596	2016
162	8640	1961
163	8682	1905
164	8725	1850
165	8767	1795
166	8809	1740
167	8850	1685
168	8891	1631
169	8932	1576
170	8974	1521
171	9014	1467
172	9071	1415
173	9114	1361
174	9155	1307
175	9198	1254
176	9254	1202
177	9298	1149
178	9343	1096
179	9390	1043
180	9434	990
181	9481	937
182	9528	885
183	9571	832
184	9615	779
185	9658	727
186	9704	674
187	9748	622
188	9796	570
189	9853	518
190	9896	466
191	9940	414
192	9982	362
193	10023	309
194	10065	258
195	10106	206
196	10150	154
197	10203	103
198	10247	51
199	10291	0
