Employee_ID,Age,Gender,Department,Education,Experience_Years,Salary,Overtime_Hours,Projects_Handled,Attendance_Percentage,Training_Hours,Work_Life_Balance,Job_Satisfaction,Manager_Rating,Promotion_Last_5Years,Remote_Work,Performance_Score,Performance_Label
EMP01000,38,Female,Finance,Bachelor's,9,41270.53,9,8,77.21,24,5,4,3.43,1,1,62.6066,Good
EMP01001,25,Male,Marketing,Bachelor's,3,31272.95,2,15,85.92,13,3,5,4.3,1,0,77.3618,Excellent
EMP01002,35,Male,HR,Master's,2,30386.39,16,5,96.0,17,5,2,3.5,1,0,63.0975,Good
EMP01003,28,Female,Marketing,Bachelor's,6,33108.9,1,10,90.94,48,4,1,3.08,1,0,53.071,Average
EMP01004,36,Female,Marketing,Bachelor's,14,47370.66,2,20,68.55,17,3,1,4.24,1,1,46.3874,Average
EMP01005,51,Female,Sales,High School,10,44599.56,4,19,100.0,48,3,4,4.41,0,0,84.8332,Excellent
EMP01006,37,Male,HR,Master's,15,45340.17,12,15,88.25,26,4,3,5.0,1,1,78.7545,Excellent
EMP01007,23,Female,HR,Master's,1,27344.07,12,6,91.17,8,5,5,3.7,1,0,76.3246,Excellent
EMP01008,40,Male,HR,Bachelor's,18,49769.94,5,9,88.02,11,3,4,2.88,1,1,58.6369,Good
EMP01009,22,Female,Marketing,Master's,0,27509.42,13,6,83.74,50,3,5,3.02,1,1,63.8834,Good
EMP01010,52,Male,Finance,Bachelor's,6,30046.31,22,9,73.78,46,1,4,3.26,1,1,50.9979,Average
EMP01011,25,Male,HR,Master's,3,28364.14,4,8,84.26,17,3,4,3.94,1,1,65.7603,Good
EMP01012,48,Female,Operations,Bachelor's,3,34113.89,20,16,91.79,48,3,4,2.84,0,1,66.0054,Good
EMP01013,46,Male,Marketing,High School,8,36010.81,23,10,86.39,13,4,3,3.9,1,0,64.6639,Good
EMP01014,43,Male,Sales,PhD,21,56377.95,0,9,90.98,9,3,2,2.73,0,1,48.9955,Average
EMP01015,31,Male,Finance,Bachelor's,9,40992.93,8,8,83.86,19,3,1,3.35,1,0,45.5702,Average
EMP01016,54,Male,Operations,Master's,26,63722.74,2,14,85.92,21,5,5,2.88,0,0,70.391,Good
EMP01017,51,Female,Operations,Bachelor's,27,61435.33,5,7,91.49,33,3,4,3.11,1,1,64.2053,Good
EMP01018,51,Female,Sales,Master's,23,57359.51,3,11,86.5,47,2,1,4.37,0,0,56.9329,Good
EMP01019,37,Female,Finance,Master's,15,50136.23,1,20,84.63,37,2,4,2.48,0,1,55.5317,Good
EMP01020,30,Male,Marketing,High School,8,39942.92,15,16,92.78,4,1,2,4.02,0,0,58.2955,Good
EMP01021,38,Female,Engineering,Master's,15,43485.65,5,17,87.29,29,2,2,3.63,0,0,56.5095,Good
EMP01022,56,Female,Finance,Master's,22,56101.02,13,8,81.14,0,2,2,3.54,1,1,46.1161,Average
EMP01023,36,Male,Sales,Master's,10,38655.37,9,12,86.83,25,4,4,3.95,0,0,72.4026,Good
EMP01024,49,Female,Operations,Bachelor's,18,51238.55,23,17,84.81,6,4,1,3.5,1,0,51.5137,Average
EMP01025,41,Female,Marketing,Master's,19,51642.19,3,15,80.36,6,1,2,2.78,0,1,39.911,Average
EMP01026,54,Female,Finance,High School,22,58211.82,23,7,100.0,44,4,5,5.0,0,1,94.3,Excellent
EMP01027,54,Male,Engineering,Bachelor's,9,37353.99,6,19,82.56,4,3,3,2.83,0,1,51.5152,Average
EMP01028,57,Female,Engineering,Master's,0,24142.93,16,17,90.1,19,1,3,4.44,0,0,66.8504,Good
EMP01029,34,Female,HR,Master's,1,24234.45,4,13,85.99,49,3,3,2.67,0,1,55.0917,Good
EMP01030,25,Female,HR,High School,3,31067.52,13,8,97.63,27,5,3,5.0,1,0,84.4179,Excellent
EMP01031,44,Male,Sales,Bachelor's,16,46225.65,15,14,98.25,22,4,3,2.66,0,1,63.7214,Good
EMP01032,29,Male,Finance,Bachelor's,7,36263.48,7,8,91.96,7,3,3,3.12,0,0,57.4304,Good
EMP01033,34,Female,Finance,Bachelor's,12,45006.61,15,14,94.27,46,5,4,2.24,0,1,66.8795,Good
EMP01034,45,Female,Operations,Bachelor's,23,63481.87,5,5,74.95,15,4,1,3.09,0,0,38.6151,Average
EMP01035,51,Female,Operations,Master's,13,45500.98,24,12,97.77,40,4,5,3.72,1,1,83.7434,Excellent
EMP01036,51,Male,Operations,Bachelor's,7,35952.41,10,20,93.53,47,1,1,3.26,1,1,50.7397,Average
EMP01037,46,Male,HR,Master's,24,57619.3,22,11,82.57,5,2,5,4.44,1,0,71.5676,Good
EMP01038,54,Female,Finance,Master's,21,59445.46,1,4,83.15,10,2,2,3.52,0,1,46.6235,Average
EMP01039,30,Female,Finance,Bachelor's,8,37285.9,0,20,86.74,12,3,5,3.81,0,1,73.4899,Good
EMP01040,47,Male,Engineering,Bachelor's,12,43618.7,8,2,100.0,1,1,4,3.51,0,0,62.882,Good
EMP01041,45,Male,HR,Bachelor's,23,60290.85,4,10,85.8,48,2,2,3.01,1,0,49.2537,Average
EMP01042,54,Female,Marketing,Bachelor's,29,68728.5,1,10,82.37,1,3,3,4.94,0,1,67.5236,Good
EMP01043,60,Male,HR,Master's,4,31015.8,13,7,82.41,12,3,4,3.75,0,1,62.0869,Good
EMP01044,46,Female,Marketing,Bachelor's,9,37770.86,19,12,72.68,18,2,4,3.44,0,1,53.3677,Average
EMP01045,36,Female,Engineering,Master's,8,38453.98,25,16,93.92,32,5,1,2.62,1,0,54.5744,Average
EMP01046,27,Male,Sales,Bachelor's,5,29499.43,12,10,94.17,36,3,1,4.01,1,1,60.3317,Good
EMP01047,41,Female,Finance,Bachelor's,9,35456.69,11,8,64.64,24,2,2,3.36,0,0,36.6553,Average
EMP01048,37,Female,Engineering,High School,15,45805.74,21,8,99.78,47,5,4,3.89,0,1,82.3463,Excellent
EMP01049,42,Female,Finance,High School,10,42497.42,8,5,86.53,37,2,2,3.5,1,1,51.6358,Average
EMP01050,36,Female,Operations,Bachelor's,5,33390.53,23,4,82.92,45,3,3,4.33,0,1,64.0638,Good
EMP01051,60,Female,Sales,Bachelor's,16,47730.72,5,12,75.39,39,5,1,4.67,1,0,60.4537,Good
EMP01052,25,Female,Sales,Master's,3,27898.8,3,11,77.59,17,3,4,3.29,1,0,57.1385,Good
EMP01053,45,Female,Engineering,Master's,5,32341.16,9,15,91.25,28,2,3,3.7,1,0,64.4739,Good
EMP01054,24,Male,Sales,Bachelor's,2,28800.54,4,13,95.37,36,1,4,2.68,0,1,60.6278,Good
EMP01055,22,Male,Marketing,Bachelor's,0,27721.79,3,1,79.47,10,1,3,3.09,0,1,41.8583,Average
EMP01056,51,Female,Sales,Bachelor's,18,56105.6,19,5,73.08,44,2,5,3.1,0,0,55.0701,Good
EMP01057,34,Male,Finance,Bachelor's,6,33748.21,23,6,86.0,40,4,3,3.4,0,0,61.1141,Good
EMP01058,39,Female,Finance,Bachelor's,17,54904.22,3,13,79.72,46,5,5,2.73,0,1,66.6887,Good
EMP01059,32,Female,Finance,Bachelor's,10,40159.28,12,10,88.61,44,1,1,3.3,0,0,46.0479,Average
EMP01060,50,Male,Finance,Bachelor's,10,40604.67,15,12,95.46,22,2,5,3.23,1,1,71.1994,Good
EMP01061,25,Female,Marketing,Bachelor's,2,29957.54,10,3,79.82,22,4,2,5.0,1,1,63.2905,Good
EMP01062,46,Female,HR,High School,24,63247.73,18,11,91.51,34,3,3,3.03,1,0,60.2675,Good
EMP01063,57,Male,Operations,Bachelor's,5,35650.8,17,15,97.23,2,3,1,4.85,0,1,68.1139,Good
EMP01064,57,Male,Engineering,Master's,34,73428.53,25,17,89.29,46,3,4,2.94,0,1,65.2934,Good
EMP01065,49,Male,Finance,Bachelor's,21,56744.42,0,5,91.76,17,2,3,3.68,1,0,59.4687,Good
EMP01066,29,Male,Sales,Bachelor's,7,38010.25,20,5,81.99,8,5,3,3.65,1,0,59.6933,Good
EMP01067,42,Male,Finance,Master's,7,33363.95,3,11,98.39,47,2,5,4.34,1,1,84.1138,Excellent
EMP01068,56,Male,Sales,Master's,26,60255.95,25,8,91.86,19,4,5,4.24,1,1,80.9035,Excellent
EMP01069,39,Female,Operations,Master's,17,47527.61,8,11,79.94,23,5,3,4.77,1,1,72.1614,Good
EMP01070,46,Male,Operations,Master's,7,35256.64,8,20,100.0,16,3,3,3.66,0,0,70.8448,Good
EMP01071,26,Male,Operations,High School,4,35043.25,10,15,70.03,44,1,2,4.2,1,0,49.2664,Average
EMP01072,29,Female,Sales,Master's,7,32483.03,4,9,96.84,11,1,4,3.02,1,1,60.4376,Good
EMP01073,44,Female,Finance,Master's,15,45168.41,20,18,78.33,32,1,2,3.03,1,1,43.4494,Average
EMP01074,24,Male,Operations,High School,2,26993.38,5,6,88.38,5,4,2,4.02,0,0,59.5427,Good
EMP01075,58,Female,Marketing,Bachelor's,7,33513.31,19,6,97.67,29,3,4,3.86,1,1,73.8841,Good
EMP01076,52,Female,Sales,Master's,7,33151.19,5,11,77.12,5,1,1,4.48,1,1,46.0298,Average
EMP01077,50,Female,Sales,Bachelor's,28,62922.73,7,20,90.95,47,5,4,3.46,1,0,75.8318,Excellent
EMP01078,41,Female,Finance,High School,4,29943.6,20,3,72.18,22,1,1,3.58,1,1,33.5769,Poor
EMP01079,24,Female,Sales,High School,2,31920.35,23,11,85.71,45,4,3,2.65,1,0,56.416,Good
EMP01080,44,Female,Sales,Bachelor's,21,57609.57,23,3,99.49,6,1,2,4.4,0,0,61.2323,Good
EMP01081,42,Female,Operations,Bachelor's,13,46852.59,18,18,86.32,25,4,3,3.44,1,1,63.7979,Good
EMP01082,34,Male,Finance,Master's,12,41790.35,21,3,95.41,2,4,2,2.3,0,1,47.4107,Average
EMP01083,29,Female,Operations,Master's,7,33814.93,0,20,94.54,24,5,5,4.68,1,1,92.1946,Excellent
EMP01084,26,Male,Operations,Bachelor's,4,32042.84,4,10,77.68,2,4,2,4.38,0,0,57.3576,Good
EMP01085,46,Female,Finance,Master's,21,56667.79,22,4,76.13,14,2,2,3.44,1,1,41.9218,Average
EMP01086,60,Female,Engineering,Bachelor's,29,68388.86,20,4,93.19,38,3,2,3.57,1,1,58.6139,Good
EMP01087,58,Male,Operations,Bachelor's,32,76354.57,18,1,91.38,3,4,1,4.95,0,0,62.3634,Good
EMP01088,26,Female,Marketing,Master's,4,29389.66,1,17,80.42,37,2,5,4.29,0,0,73.7616,Good
EMP01089,29,Female,Marketing,Master's,7,33613.21,15,6,85.45,44,2,1,3.64,0,0,47.8868,Average
