iter	Passed	Remaining
0	302	60293
1	385	38171
2	463	30447
3	554	27192
4	648	25302
5	756	24451
6	887	24475
7	987	23703
8	1106	23478
9	1202	22847
10	1292	22199
11	1394	21846
12	1486	21376
13	1561	20746
14	1619	19968
15	1671	19224
16	1717	18488
17	1767	17870
18	1830	17437
19	1878	16907
20	1928	16437
21	1995	16147
22	2071	15941
23	2142	15715
24	2193	15353
25	2267	15174
26	2369	15179
27	2452	15066
28	2514	14828
29	2566	14545
30	2630	14342
31	2688	14112
32	2726	13799
33	2767	13513
34	2820	13298
35	2875	13099
36	2917	12851
37	2958	12610
38	2999	12381
39	3041	12167
40	3130	12140
41	3277	12329
42	3367	12294
43	3447	12221
44	3513	12103
45	3584	12000
46	3652	11890
47	3716	11767
48	3777	11640
49	3830	11492
50	3882	11344
51	3954	11256
52	4020	11149
53	4078	11027
54	4131	10893
55	4235	10890
56	4277	10730
57	4315	10566
58	4360	10422
59	4405	10279
60	4444	10128
61	4487	9989
62	4517	9824
63	4567	9705
64	4609	9574
65	4645	9431
66	4687	9305
67	4725	9173
68	4772	9061
69	4827	8965
70	4870	8849
71	4913	8734
72	4955	8620
73	4996	8507
74	5047	8412
75	5092	8308
76	5135	8204
77	5176	8095
78	5215	7987
79	5254	7881
80	5299	7784
81	5360	7713
82	5449	7681
83	5506	7603
84	5564	7528
85	5611	7437
86	5655	7345
87	5700	7255
88	5748	7169
89	5793	7081
90	5833	6987
91	5882	6905
92	5928	6820
93	5969	6731
94	6013	6646
95	6053	6558
96	6091	6468
97	6136	6387
98	6175	6300
99	6223	6223
100	6262	6138
101	6301	6054
102	6340	5970
103	6375	5884
104	6424	5812
105	6469	5736
106	6505	5654
107	6550	5579
108	6586	5498
109	6632	5426
110	6673	5350
111	6707	5270
112	6749	5196
113	6783	5117
114	6840	5055
115	6886	4986
116	6924	4912
117	6961	4837
118	7008	4770
119	7066	4711
120	7119	4648
121	7168	4582
122	7212	4515
123	7252	4445
124	7292	4375
125	7345	4314
126	7410	4259
127	7463	4198
128	7542	4151
129	7635	4111
130	7714	4063
131	7778	4007
132	7822	3940
133	7882	3882
134	7982	3843
135	8029	3778
136	8080	3715
137	8278	3719
138	8563	3758
139	8618	3693
140	8674	3629
141	8731	3566
142	8791	3504
143	8850	3441
144	8911	3380
145	8978	3320
146	9027	3254
147	9084	3191
148	9146	3130
149	9203	3067
150	9269	3008
151	9321	2943
152	9385	2883
153	9452	2823
154	9537	2768
155	9601	2708
156	9674	2649
157	9737	2588
158	9797	2526
159	9844	2461
160	9890	2395
161	9934	2330
162	9983	2266
163	10036	2203
164	10085	2139
165	10137	2076
166	10202	2016
167	10254	1953
168	10327	1894
169	10387	1833
170	10436	1769
171	10489	1707
172	10556	1647
173	10608	1585
174	10651	1521
175	10689	1457
176	10731	1394
177	10783	1332
178	10834	1271
179	10880	1208
180	10937	1148
181	11005	1088
182	11086	1029
183	11140	968
184	11189	907
185	11352	854
186	11477	797
187	11589	739
188	11647	677
189	11734	617
190	11787	555
191	11849	493
192	11899	431
193	11942	369
194	11989	307
195	12046	245
196	12099	184
197	12143	122
198	12188	61
199	12235	0
